SUBURB_NAME,SUBURB_NAME_ADJOINING
FAIRFIELD,YERONGA
FAIRFIELD,ANNERLEY
FAIRFIELD,DUTTON PARK
FERNY GROVE,KEPERRA
FERNY GROVE,UPPER KEDRON
FIG TREE POCKET,CHELMER
FIG TREE POCKET,CORINDA
FIG TREE POCKET,INDOOROOPILLY
FIG TREE POCKET,KENMORE
FIG TREE POCKET,SEVENTEEN MILE ROCKS
FIG TREE POCKET,SHERWOOD
FIG TREE POCKET,CHAPEL HILL
FIG TREE POCKET,OXLEY
FIG TREE POCKET,SINNAMON PARK
FIG TREE POCKET,GRACEVILLE
FIG TREE POCKET,JINDALEE
FITZGIBBON,CARSELDINE
FITZGIBBON,TAIGUM
FITZGIBBON,BALD HILLS
FITZGIBBON,DEAGON
FITZGIBBON,ZILLMERE
FITZGIBBON,BRACKEN RIDGE
FOREST LAKE,ELLEN GROVE
FOREST LAKE,PALLARA
FOREST LAKE,WACOL
FOREST LAKE,RICHLANDS
FOREST LAKE,DOOLANDELLA
FOREST LAKE,HEATHWOOD
FOREST LAKE,INALA
FORTITUDE VALLEY,BOWEN HILLS
FORTITUDE VALLEY,NEWSTEAD
FORTITUDE VALLEY,SPRING HILL
FORTITUDE VALLEY,TENERIFFE
FORTITUDE VALLEY,BRISBANE CITY
FORTITUDE VALLEY,NEW FARM
FORTITUDE VALLEY,KANGAROO POINT
GAYTHORNE,ENOGGERA
GAYTHORNE,EVERTON PARK
GAYTHORNE,MITCHELTON
GEEBUNG,ASPLEY
GEEBUNG,WAVELL HEIGHTS
GEEBUNG,BOONDALL
GEEBUNG,ZILLMERE
GEEBUNG,CHERMSIDE
GEEBUNG,VIRGINIA
GORDON PARK,GRANGE
GORDON PARK,KEDRON
GORDON PARK,LUTWYCHE
GORDON PARK,STAFFORD
GRACEVILLE,INDOOROOPILLY
GRACEVILLE,SHERWOOD
GRACEVILLE,TENNYSON
GRACEVILLE,CHELMER
GRACEVILLE,FIG TREE POCKET
GRANGE,ALDERLEY
GRANGE,LUTWYCHE
GRANGE,WILSTON
GRANGE,WINDSOR
GRANGE,GORDON PARK
GRANGE,NEWMARKET
GRANGE,STAFFORD
GREENSLOPES,TARRAGINDI
GREENSLOPES,ANNERLEY
GREENSLOPES,COORPAROO
GREENSLOPES,HOLLAND PARK WEST
GREENSLOPES,WOOLLOONGABBA
GREENSLOPES,HOLLAND PARK
GREENSLOPES,STONES CORNER
GUMDALE,BELMONT
GUMDALE,RANSOME
GUMDALE,TINGALPA
GUMDALE,CHANDLER
GUMDALE,WAKERLEY
HAMILTON,ASCOT
HAMILTON,EAGLE FARM
HAMILTON,NEWSTEAD
HAMILTON,ALBION
HAMILTON,MORNINGSIDE
HAMILTON,MURARRIE
HAMILTON,BULIMBA
HAWTHORNE,BULIMBA
HAWTHORNE,NEW FARM
HAWTHORNE,NORMAN PARK
HAWTHORNE,BALMORAL
HAWTHORNE,MORNINGSIDE
HAWTHORNE,TENERIFFE
HEATHWOOD,FOREST LAKE
HEATHWOOD,LARAPINTA
HEATHWOOD,PALLARA
HEMMANT,LYTTON
HEMMANT,MURARRIE
HEMMANT,TINGALPA
HEMMANT,PINKENBA
HEMMANT,WYNNUM WEST
HENDRA,CLAYFIELD
HENDRA,ASCOT
HENDRA,EAGLE FARM
HENDRA,NUNDAH
HENDRA,BRISBANE AIRPORT
HERSTON,WILSTON
HERSTON,BOWEN HILLS
HERSTON,KELVIN GROVE
HERSTON,SPRING HILL
HERSTON,WINDSOR
HIGHGATE HILL,DUTTON PARK
HIGHGATE HILL,SOUTH BRISBANE
HIGHGATE HILL,ST LUCIA
HIGHGATE HILL,WEST END
HOLLAND PARK,CARINA HEIGHTS
HOLLAND PARK,GREENSLOPES
HOLLAND PARK,CAMP HILL
HOLLAND PARK,MOUNT GRAVATT
HOLLAND PARK,MOUNT GRAVATT EAST
HOLLAND PARK,COORPAROO
HOLLAND PARK,HOLLAND PARK WEST
HOLLAND PARK WEST,GREENSLOPES
HOLLAND PARK WEST,HOLLAND PARK
HOLLAND PARK WEST,MOUNT GRAVATT
HOLLAND PARK WEST,NATHAN
HOLLAND PARK WEST,TARRAGINDI
INALA,OXLEY
INALA,RICHLANDS
INALA,DOOLANDELLA
INALA,DURACK
INALA,FOREST LAKE
INALA,DARRA
INDOOROOPILLY,CHAPEL HILL
INDOOROOPILLY,CHELMER
INDOOROOPILLY,FIG TREE POCKET
INDOOROOPILLY,MOUNT COOT-THA
INDOOROOPILLY,YEERONGPILLY
INDOOROOPILLY,YERONGA
INDOOROOPILLY,TARINGA
INDOOROOPILLY,GRACEVILLE
INDOOROOPILLY,ST LUCIA
INDOOROOPILLY,TENNYSON
JAMBOREE HEIGHTS,MIDDLE PARK
JAMBOREE HEIGHTS,DARRA
JAMBOREE HEIGHTS,SUMNER
JAMBOREE HEIGHTS,MOUNT OMMANEY
JAMBOREE HEIGHTS,SINNAMON PARK
JINDALEE,MOUNT OMMANEY
JINDALEE,FIG TREE POCKET
JINDALEE,KENMORE
JINDALEE,PINJARRA HILLS
JINDALEE,SINNAMON PARK
KALINGA,NUNDAH
KALINGA,WAVELL HEIGHTS
KALINGA,KEDRON
KALINGA,CLAYFIELD
KALINGA,WOOLOOWIN
KANGAROO POINT,SOUTH BRISBANE
KANGAROO POINT,EAST BRISBANE
KANGAROO POINT,FORTITUDE VALLEY
KANGAROO POINT,BRISBANE CITY
KANGAROO POINT,NEW FARM
KANGAROO POINT,WOOLLOONGABBA
KARANA DOWNS,MOUNT CROSBY
KARAWATHA,STRETTON
KARAWATHA,DREWVALE
KARAWATHA,KURABY
KEDRON,CHERMSIDE WEST
KEDRON,LUTWYCHE
KEDRON,GORDON PARK
KEDRON,STAFFORD
KEDRON,STAFFORD HEIGHTS
KEDRON,CHERMSIDE
KEDRON,KALINGA
KEDRON,WAVELL HEIGHTS
KEDRON,WOOLOOWIN
KELVIN GROVE,BRISBANE CITY
KELVIN GROVE,RED HILL
KELVIN GROVE,NEWMARKET
KELVIN GROVE,SPRING HILL
KELVIN GROVE,HERSTON
KELVIN GROVE,PETRIE TERRACE
KELVIN GROVE,WILSTON
KENMORE,FIG TREE POCKET
KENMORE,JINDALEE
KENMORE,KENMORE HILLS
KENMORE,BROOKFIELD
KENMORE,PINJARRA HILLS
KENMORE,CHAPEL HILL
KENMORE HILLS,MOUNT COOT-THA
KENMORE HILLS,BROOKFIELD
KENMORE HILLS,CHAPEL HILL
KENMORE HILLS,KENMORE
KEPERRA,THE GAP
KEPERRA,MITCHELTON
KEPERRA,UPPER KEDRON
KEPERRA,ENOGGERA
KEPERRA,FERNY GROVE
KHOLO,ANSTEAD
KHOLO,CHUWAR
KHOLO,LAKE MANCHESTER
KHOLO,MOUNT CROSBY
KHOLO,PULLENVALE
KHOLO,UPPER BROOKFIELD
KOORINGAL,MORETON ISLAND
KURABY,EIGHT MILE PLAINS
KURABY,KARAWATHA
KURABY,STRETTON
KURABY,RUNCORN
LAKE MANCHESTER,BANKS CREEK
LAKE MANCHESTER,KHOLO
LAKE MANCHESTER,ENOGGERA RESERVOIR
LAKE MANCHESTER,UPPER BROOKFIELD
LARAPINTA,HEATHWOOD
LARAPINTA,ALGESTER
LARAPINTA,PALLARA
LARAPINTA,PARKINSON
LOTA,RANSOME
LOTA,MANLY
LOTA,MANLY WEST
LOTA,WAKERLEY
LUTWYCHE,ALBION
LUTWYCHE,GRANGE
LUTWYCHE,WOOLOOWIN
LUTWYCHE,KEDRON
LUTWYCHE,WINDSOR
LUTWYCHE,GORDON PARK
LYTTON,WYNNUM
LYTTON,HEMMANT
LYTTON,PORT OF BRISBANE
LYTTON,PINKENBA
LYTTON,WYNNUM WEST
MACGREGOR,EIGHT MILE PLAINS
MACGREGOR,ROBERTSON
MACGREGOR,NATHAN
MACGREGOR,SUNNYBANK
MACGREGOR,UPPER MOUNT GRAVATT
MACKENZIE,BELMONT
MACKENZIE,CARINDALE
MACKENZIE,ROCHEDALE
MACKENZIE,BURBANK
MACKENZIE,MANSFIELD
MANLY,LOTA
MANLY,MANLY WEST
MANLY,WYNNUM
MANLY WEST,WYNNUM WEST
MANLY WEST,LOTA
MANLY WEST,MANLY
MANLY WEST,TINGALPA
MANLY WEST,WAKERLEY
MANLY WEST,WYNNUM
MANSFIELD,MACKENZIE
MANSFIELD,MOUNT GRAVATT EAST
MANSFIELD,ROCHEDALE
MANSFIELD,CARINA HEIGHTS
MANSFIELD,UPPER MOUNT GRAVATT
MANSFIELD,WISHART
MANSFIELD,CARINDALE
MCDOWALL,ASPLEY
MCDOWALL,STAFFORD HEIGHTS
MCDOWALL,BRIDGEMAN DOWNS
MCDOWALL,CHERMSIDE WEST
MCDOWALL,EVERTON PARK
MIDDLE PARK,JAMBOREE HEIGHTS
MIDDLE PARK,RIVERHILLS
